7409 	 Un gruppo di persone sta camminando per strada.
25757 	 Un gruppo di persone sta camminando per strada.
20920 	 Un gruppo di persone sta camminando per strada.
28215 	 Un gruppo di persone sta camminando per strada.
24314 	 Un gruppo di persone sta camminando per strada.
14430 	 Un gruppo di persone sta camminando per strada.
6318 	 Un gruppo di persone sta camminando per strada.
13876 	 Un gruppo di persone sta camminando per strada.
14898 	 Un gruppo di persone sta camminando per strada.
27306 	 Un gruppo di persone sta camminando per strada.
2256 	 Un gruppo di persone sta camminando per strada.
22213 	 Un gruppo di persone sta camminando per strada.
14303 	 Un gruppo di persone sta camminando per strada.
15291 	 Un gruppo di persone sta camminando per strada.
7610 	 Un gruppo di persone sta camminando per strada.
30256 	 Un gruppo di persone sta camminando per strada.
3180 	 Un gruppo di persone sta camminando per strada.
22185 	 Un gruppo di persone sta camminando per strada.
3096 	 Un gruppo di persone sta camminando per strada.
27643 	 Un gruppo di persone sta camminando per strada.
2476 	 Un gruppo di persone sta camminando per strada.
1892 	 Un gruppo di persone sta camminando per strada.
24232 	 Un gruppo di persone sta camminando per strada.
3204 	 Un gruppo di persone sta camminando per strada.
24443 	 Un gruppo di persone sta camminando per strada.
10221 	 Un gruppo di persone sta camminando per strada.
10458 	 Un gruppo di persone sta camminando per strada.
15547 	 Un gruppo di persone sta camminando per strada.
24877 	 Un gruppo di persone sta camminando per strada.
29289 	 Un gruppo di persone sta camminando per strada.
4743 	 Un gruppo di persone sta camminando per strada.
11827 	 Un gruppo di persone sta camminando per strada.
22099 	 Un gruppo di persone sta camminando per strada.
20058 	 Un gruppo di persone sta camminando per strada.
12483 	 Un gruppo di persone sta camminando per strada.
16134 	 Un gruppo di persone sta camminando per strada.
29735 	 Un gruppo di persone sta camminando per strada.
19969 	 Un gruppo di persone sta camminando per strada.
11727 	 Un gruppo di persone sta camminando per strada.
24490 	 Un gruppo di persone sta camminando per strada.
12075 	 Un gruppo di persone sta camminando per strada.
7723 	 Un gruppo di persone sta camminando per strada.
23606 	 Un gruppo di persone sta camminando per strada.
20736 	 Un gruppo di persone sta camminando per strada.
2089 	 Un gruppo di persone sta camminando per strada.
17749 	 Un gruppo di persone sta camminando per strada.
14766 	 Un gruppo di persone sta camminando per strada.
610 	 Un gruppo di persone sta camminando per strada.
21414 	 Un gruppo di persone sta camminando per strada.
9819 	 Un gruppo di persone sta camminando per strada.
24642 	 Un gruppo di persone sta camminando per strada.
22859 	 Un gruppo di persone sta camminando per strada.
13892 	 Un gruppo di persone sta camminando per strada.
7283 	 Un gruppo di persone sta camminando per strada.
13671 	 Un gruppo di persone sta camminando per strada.
2388 	 Un gruppo di persone sta camminando per strada.
382 	 Un gruppo di persone sta camminando per strada.
10724 	 Un gruppo di persone sta camminando per strada.
3423 	 Un gruppo di persone sta camminando per strada.
11424 	 Un gruppo di persone sta camminando per strada.
15800 	 Un gruppo di persone sta camminando per strada.
27508 	 Un gruppo di persone sta camminando per strada.
3995 	 Un gruppo di persone sta camminando per strada.
3529 	 Un gruppo di persone sta camminando per strada.
19875 	 Un gruppo di persone sta camminando per strada.
2274 	 Un gruppo di persone sta camminando per strada.
11960 	 Un gruppo di persone sta camminando per strada.
14210 	 Un gruppo di persone sta camminando per strada.
20878 	 Un gruppo di persone sta camminando per strada.
17828 	 Un gruppo di persone sta camminando per strada.
28800 	 Un gruppo di persone sta camminando per strada.
2605 	 Un gruppo di persone sta camminando per strada.
322 	 Un gruppo di persone sta camminando per strada.
20171 	 Un gruppo di persone sta camminando per strada.
16933 	 Un gruppo di persone sta camminando per strada.
12467 	 Un gruppo di persone sta camminando per strada.
9496 	 Un gruppo di persone sta camminando per strada.
16208 	 Un gruppo di persone sta camminando per strada.
15481 	 Un gruppo di persone sta camminando per strada.
26609 	 Un gruppo di persone sta camminando per strada.
13325 	 Un gruppo di persone sta camminando per strada.
13978 	 Un gruppo di persone sta camminando per strada.
9858 	 Un gruppo di persone sta camminando per strada.
23093 	 Un gruppo di persone sta camminando per strada.
24819 	 Un gruppo di persone sta camminando per strada.
12903 	 Un gruppo di persone sta camminando per strada.
30177 	 Un gruppo di persone sta camminando per strada.
15825 	 Un gruppo di persone sta camminando per strada.
22834 	 Un gruppo di persone sta camminando per strada.
25571 	 Un gruppo di persone sta camminando per strada.
21951 	 Un gruppo di persone sta camminando per strada.
13861 	 Un gruppo di persone sta camminando per strada.
22638 	 Un gruppo di persone sta camminando per strada.
25731 	 Un gruppo di persone sta camminando per strada.
5576 	 Un gruppo di persone sta camminando per strada.
4494 	 Un gruppo di persone sta camminando per strada.
5447 	 Un gruppo di persone sta camminando per strada.
28796 	 Un gruppo di persone sta camminando per strada.
7421 	 Un gruppo di persone sta camminando per strada.
628 	 Un gruppo di persone sta camminando per strada.
22827 	 Un gruppo di persone sta camminando per strada.
6582 	 Un gruppo di persone sta camminando per strada.
28209 	 Un gruppo di persone sta camminando per strada.
2177 	 Un gruppo di persone sta camminando per strada.
6063 	 Un gruppo di persone sta camminando per strada.
17309 	 Un gruppo di persone sta camminando per strada.
10266 	 Un gruppo di persone sta camminando per strada.
8375 	 Un gruppo di persone sta camminando per strada.
27399 	 Un gruppo di persone sta camminando per strada.
22261 	 Un gruppo di persone sta camminando per strada.
24520 	 Un gruppo di persone sta camminando per strada.
4463 	 Un gruppo di persone sta camminando per strada.
200 	 Un gruppo di persone sta camminando per strada.
16511 	 Un gruppo di persone sta camminando per strada.
19942 	 Un gruppo di persone sta camminando per strada.
3848 	 Un gruppo di persone sta camminando per strada.
20711 	 Un gruppo di persone sta camminando per strada.
15795 	 Un gruppo di persone sta camminando per strada.
22228 	 Un gruppo di persone sta camminando per strada.
7228 	 Un gruppo di persone sta camminando per strada.
22889 	 Un gruppo di persone sta camminando per strada.
10133 	 Un gruppo di persone sta camminando per strada.
28233 	 Un gruppo di persone sta camminando per strada.
16679 	 Un gruppo di persone sta camminando per strada.
26416 	 Un gruppo di persone sta camminando per strada.
15465 	 Un gruppo di persone sta camminando per strada.
22936 	 Un gruppo di persone sta camminando per strada.
6666 	 Un gruppo di persone sta camminando per strada.
22003 	 Un gruppo di persone sta camminando per strada.
14913 	 Un gruppo di persone sta camminando per strada.
30089 	 Un gruppo di persone sta camminando per strada.
17598 	 Un gruppo di persone sta camminando per strada.
12386 	 Un gruppo di persone sta camminando per strada.
15574 	 Un gruppo di persone sta camminando per strada.
19441 	 Un gruppo di persone sta camminando per strada.
27571 	 Un gruppo di persone sta camminando per strada.
4917 	 Un gruppo di persone sta camminando per strada.
10033 	 Un gruppo di persone sta camminando per strada.
20098 	 Un gruppo di persone sta camminando per strada.
462 	 Un gruppo di persone sta camminando per strada.
13654 	 Un gruppo di persone sta camminando per strada.
18047 	 Un gruppo di persone sta camminando per strada.
26253 	 Un gruppo di persone sta camminando per strada.
22916 	 Un gruppo di persone sta camminando per strada.
18983 	 Un gruppo di persone sta camminando per strada.
13943 	 Un gruppo di persone sta camminando per strada.
4641 	 Un gruppo di persone sta camminando per strada.
5711 	 Un gruppo di persone sta camminando per strada.
16469 	 Un gruppo di persone sta camminando per strada.
22738 	 Un gruppo di persone sta camminando per strada.
7330 	 Un gruppo di persone sta camminando per strada.
