17114 	 Un uomo che fa surf su una grande onda nell'oceano.
30572 	 Un uomo e una donna sono seduti a un tavolo a mangiare.
20838 	 Un uomo e una donna che camminano per strada.
15889 	 Un uomo sta guidando una bicicletta su una strada sterrata.
6377 	 Un uomo con un cappello da cowboy guida un cavallo marrone.
28087 	 Un gruppo di persone che giocano a basket in una palestra.
23093 	 Un gruppo di persone che camminano per strada.
21295 	 Un gruppo di persone che camminano per strada.
25571 	 Un giocatore di tennis che indossa una maglietta bianca e dei pantaloni bianchi sta giocando a tennis.
6557 	 Un gruppo di operai edili che lavorano in un cantiere.
22872 	 Un uomo e una donna camminano per strada.
3204 	 Un cane bianco e nero che gioca con un giocattolo.
203 	 Un gruppo di persone sedute intorno a un tavolo a mangiare.
9747 	 Un gruppo di persone che camminano su un sentiero sporco.
25547 	 Due operai edili stanno lavorando su un tetto.
3848 	 Un uomo che nuota in una piscina.
24395 	 Un uomo e una donna sono seduti a un tavolo a mangiare.
27560 	 Un uomo con gli occhiali da sole e una camicia bianca sta suonando la chitarra.
8115 	 Un gruppo di persone in piedi su una barca in acqua.
29427 	 Un pilota di auto da corsa sta guidando su una pista da corsa.
4351 	 Un uomo con un cappello da baseball e un cappello da baseball è seduto su una panchina del parco.
21678 	 Un uomo con una maglietta blu e un cappello da baseball è seduto su una panchina di fronte ad un edificio.
30310 	 Un uomo con un cappello da cowboy e un cappello da cowboy si trova di fronte a un gruppo di persone.
18384 	 Due operai edili stanno lavorando su un tetto.
1107 	 Un cane marrone che salta su un ostacolo.
29598 	 Un gruppo di bambini che giocano in un parco giochi.
22772 	 Un ragazzo con una maglietta blu e un cappello da baseball è seduto su una sedia.
382 	 Un gruppo di persone si riunisce in un parco di divertimento.
2147 	 Un gruppo di persone che camminano su una strada sterrata.
370 	 Un uomo con un cappello da cowboy e una camicia rossa sta guidando un cavallo marrone.
2527 	 Una donna con i capelli biondi e gli occhiali da sole che canta al microfono.
24041 	 Un uomo con un cappello e una camicia blu è seduto su una panchina di fronte ad un edificio.
9451 	 Un operaio edile che lavora su un tetto.
1943 	 Un uomo e una donna sono seduti su una panchina. <end>
20711 	 Una donna con una camicia rossa e un cappello da baseball è in piedi accanto a una donna con un vestito bianco.
2312 	 Un cane marrone con una palla in bocca.
8303 	 Un cane marrone e un cane nero che giocano con una palla rossa.
511 	 Un uomo con un cappello e una camicia bianca sta lavorando su un tetto.
25732 	 Un uomo con una camicia blu e un cappello da baseball è seduto su una panchina di fronte ad un albero di Natale.
4734 	 Un uomo con un cappello rigido sta lavorando su un tetto.
19915 	 Una donna con un vestito blu e un cappello da baseball cammina per strada.
12708 	 Un cane bianco e nero con un bastone in bocca. <end>
1365 	 Un uomo con una camicia bianca e un cappello da baseball è seduto a un tavolo a mangiare un panino.
24251 	 Un uomo e una donna sono seduti su una panchina in un parco. <end>
28590 	 Un uomo con un cappello e una camicia blu sta guidando una bicicletta per strada.
17686 	 Un uomo e una donna sono seduti su una panchina di fronte ad un albero di Natale.
24925 	 Un uomo con una maglietta blu e un cappello da baseball è seduto su una panchina di fronte ad un edificio.
25778 	 Un uomo con un cappello e una camicia blu è seduto su una roccia vicino a un lago.
26463 	 Un uomo con un cappello da cowboy guida un cavallo marrone. <end>
15716 	 Un uomo con una camicia bianca e un cappello da baseball si trova di fronte a un gruppo di persone.
6896 	 Un gruppo di persone sedute intorno a un tavolo a mangiare.
18464 	 Un uomo con una camicia bianca e un cappello da baseball è seduto a un tavolo con un bicchiere di birra.
10982 	 Un gruppo di persone si riunisce intorno a un tavolo.
1933 	 Un uomo e una donna sono seduti su una panchina in un parco. <end>
21575 	 Un uomo e una donna in posa per una foto.
7044 	 Un uomo e una donna sono seduti su una panchina. <end>
10801 	 Un uomo che salta in aria su una spiaggia.
5214 	 Un uomo con una camicia bianca e un cappello da baseball è in piedi su una scogliera che guarda l'oceano.
23372 	 Un uomo con una camicia rossa e dei pantaloni neri sta camminando in una strada trafficata.
12714 	 Un cane che nuota in acqua.
22216 	 Un gruppo di persone che giocano a basket.
200 	 Un giocatore di baseball con un'uniforme bianca e nera sta cercando di colpire la palla.
18849 	 Una donna in camicia rossa e pantaloni neri sta facendo un salto in aria.
118 	 Un uomo e una donna sono in piedi su una barca in acqua.
13094 	 Un cane che corre in un campo erboso.
9272 	 Un bambino con una maglietta blu e dei pantaloni blu è seduto su una roccia in un parco.
18905 	 Un uomo con una camicia bianca e un cappello da baseball è seduto su una panchina di fronte ad un edificio.
8268 	 Un gruppo di persone che camminano lungo una strada di mattoni.
11838 	 Un gruppo di persone che camminano per strada.
29843 	 Un uomo con una camicia rossa e un cappello da cowboy che suona la chitarra.
4917 	 Un gruppo di persone si riunisce intorno a un tavolo.
21371 	 Un gruppo di persone è in piedi su una piattaforma di legno.
