1023	 Un uomo con un cappello da cowboy e un cappello da baseball si trova di fronte ad un edificio.
17338	 Una ragazza in muta rosa è seduta su una spiaggia a guardare l'oceano.
4881	 Un gruppo di persone che fanno escursioni in montagna.
10330	 Un gruppo di persone si riunisce intorno a un gruppo di persone.
17483	 Una giovane donna in bikini sta facendo un salto in acqua.
12245	 Una donna con i capelli marroni e una camicia nera suona la chitarra.
22865	 Un gruppo di persone è in piedi su una collina.
24145	 Un gruppo di persone si riunisce intorno a un tavolo.
734	 Un gruppo di persone in bicicletta su una strada sterrata.
9042	 Un grande gruppo di persone si riunisce intorno a un fuoco.
11374	 Un bambino con una maglietta blu e un cappello da baseball sta giocando con un giocattolo.
18310	 Un uomo e una donna camminano sulla spiaggia.
23502	 Una donna con un vestito nero e una donna con una maglietta nera e un uomo con una maglietta
3701	 Un cane bianco e nero salta in aria per prendere una palla da tennis.
23986	 Un gruppo di persone si trova di fronte ad un edificio.
17945	 Un gruppo di persone si riunisce intorno a un tavolo da picnic.
17669	 Un uomo con un cappello da baseball e un cappello nero è in piedi in un campo di grano.
19263	 Un giocatore di calcio che indossa una maglietta blu e bianca e nera sta cercando di prendere la palla.
2848	 Due giocatori di baseball che giocano a baseball.
6733	 Due ragazzi che giocano a calcio in una giornata di sole.
9354	 Un bambino che indossa una maglietta a maniche lunghe e dei pantaloni blu è in piedi su un letto
4028	 Un gruppo di persone si riunisce intorno a un tavolo.
15809	 Un uomo e una donna in posa per una foto.
10732	 Un uomo e una donna che camminano per strada.
7973	 Un uomo con un gilet arancione è in piedi accanto a una macchina.
27682	 Un gruppo di uomini che giocano a calcio.
856	 Un gruppo di persone sedute a un tavolo a mangiare.
228	 Un uomo con una camicia bianca e un apron rosso sta cucinando in cucina.
21580	 Un gruppo di persone si riunisce intorno a un tavolo.
23240	 Un gruppo di persone si riunisce intorno a un tavolo.
22651	 Un uomo con una camicia rossa e jeans blu è in piedi su una strada di notte.
3459	 Un gruppo di persone che si esibiscono sul palco.
29754	 Un uomo e una donna sono seduti su una panchina di fronte a un negozio.
20229	 Un uomo e una donna stanno camminando sul marciapiede vicino ad un edificio di mattoni.
28139	 Un gruppo di persone si riunisce intorno a un tavolo.
19373	 Un gruppo di persone che camminano per strada.
28057	 Un giocatore di baseball con l'uniforme bianca sta per lanciare la palla.
9797	 Un gruppo di persone si riunisce intorno a un tavolo.
3834	 Un uomo e una donna sono seduti su una panchina del parco.
14626	 Un gruppo di bambini che giocano a calcio in un parco.
2139	 Un uomo con un cappello da cowboy e un cappello da cowboy sta guidando una bicicletta.
18419	 Due bambini che giocano in spiaggia.
1646	 Un gruppo di persone sta camminando sulla spiaggia.
24495	 Un uomo e una donna sono seduti su una panchina.
22678	 Un uomo e una donna stanno guidando una bicicletta.
5581	 Un gruppo di persone è seduto su una spiaggia vicino all'oceano.
14841	 Una donna con gli occhiali da sole e un cappello da baseball si trova di fronte a un tramonto.
26160	 Un uomo che nuota in acqua.
17822	 Due bambini giocano in spiaggia.
30105	 Un uomo in bicicletta su una strada sterrata.
25626	 Un gruppo di persone che camminano per strada.
14599	 Un uomo con un cappello da cowboy e un cappello da cowboy si trova di fronte a un gruppo
137	 Un uomo in camicia bianca e pantaloni neri si trova di fronte ad un edificio.
